Timestamp,Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for?,Where do you climb?,Hardest V Grade ever climbed ,Hardest V Grade climbed in the Last 3 months,The V grade you can send 90-100% of routes ,Hardest Route grade climbed (Ewbank grade) ,Hardest route climbed last 3 months (ewbank),Route grade you can send 90-100% of climbs,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Hangboard Frequency per week ,Hangboard grips used ,Style of Hangboarding chosen ,Max Weight hangboard 18mm edge - Half crimp (KG)  (10 seconds) (added weight only),Max Weight hangboard 18mm edge - open crimp (KG) (10 seconds)  (added weight only),"Min Edge used (mm, +kg if weight added ) - Half Crimp (10 seconds)","Min Edge used (mm, +kg if weight added) - Open crimp (10 seconds) ",Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,Endurance training ,General Strength Training frequency per week ,Time spent General strength training (hours),Type of Strength training,"Other activities (ie yoga, cardio)",Max pull up reps,5 rep max weighted pull ups,max push ups reps,max L-sit time 
29/01/2017 23:37:06,Male,178,81.6,178,5.5 - 6 years,Indoor Climbing only,V7,V7,V5,25,23,21,2,4,0,1,"Full Crimp, Half Crimp, Open Crimp, Middle 2, Slopers",Repeaters,0,0,?,?,0,0,2,ARC,3,3,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",HIIT Running,7,?,30,?
29/01/2017 23:42:34,Male,175,60,180,5.5 - 6 years,Indoor and outdoor climbing,V8,V8,V8,30,29,28,2,6,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,0,0,No other strength training,,,,,
29/01/2017 23:46:55,Female,168,54,170,1 - 1.5 years,Indoor Climbing only,V6,V6,V4,25,25,22,4,8,8,2,"Open Crimp, Front 3, Back 3, Front 2, Middle 2, Back 2, Slopers",Repeaters,,,,,0,0,1,"hangboard repeater protocols, Laps of routes",4,2,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing","Cardio, skiing, mountainhiking",12,,30,
30/01/2017 00:23:36,Female,157.5,50.8,158,2.5 - 3 years,Indoor and outdoor climbing,V4,V3,V2,23,23,19,2,4,1,0,I don't Hangboard,I don't hangboard,,,,,0,0,1,"4x4, Max moves, Laps of routes",2,2,"Antagonists, Core, Upper body pulling, Upper body pushing",Running,3,,,
30/01/2017 00:24:52,Male,163,65,165,5 - 5.5 years,Indoor and outdoor climbing,V11,V9,V7,I don't climb routes,I don't climb routes,I don't climb routes,4,12,4,1,"Open Crimp, Back 3, Front 2, Middle 2, Monos","Min Edge, Repeaters",60,50,6,6,2,1,0,I don't train for endurance,0,0,No other strength training,,35,65,120,
30/01/2017 00:30:09,Male,174,70,178,1 - 1.5 years,Indoor and outdoor climbing,V3,I don't boulder,V2,22,20,20,0,1,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,2,2,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,10,,10,0
30/01/2017 00:30:18,Male,188,100,195.6,3.5 - 4 years,Indoor and outdoor climbing,V9,V7,V5,25,23,22,4,10,3,2,Half Crimp,"Max weight, Min Edge, Repeaters",22,23,"14mm, can hang 8mm less than 10. No steps between",14mm,0,0,1,"ARC, route climbing intervals",3,1,"Antagonists, Core, Upper body pulling",Mountain biking,>20,85 lbs,40,>20 sec
30/01/2017 00:31:44,Female,164,53,170,2 - 2.5 years,Indoor Climbing only,V6,V6,V4,I don't climb routes,I don't climb routes,I don't climb routes,3,6,3,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,3,3,"Core, Upper body pulling, Upper body pushing",,11,,,
30/01/2017 00:38:22,Male,176,60,177,2.5 - 3 years,Indoor and outdoor climbing,V7,V7,V5,25,24,23,3,8,2,1,"Half Crimp, Front 3, Middle 2, Slopers",Repeaters,-,-,-,-,0,0,0,"Laps of routes, ARC",1,1,"Antagonists, Core, Upper body pushing",Calisthenics (or is this strength training?),10,-,30,30 - one foot off.
30/01/2017 00:45:14,Male,175,63.5,180,3.5 - 4 years,Indoor Climbing only,V10,V10,V8,I don't climb routes,I don't climb routes,I don't climb routes,3,9,3,3,"Half Crimp, Open Crimp","Max weight, Min Edge",50,,6,,0,0,0,I don't train for endurance,3,2,"Legs, Upper body pulling, Upper body pushing",,,,,
30/01/2017 00:50:13,Male,190,82,197,2.5 - 3 years,Indoor and outdoor climbing,V6,V5,V4,24,21,20,3,4,2,2,Half Crimp,Other protocol,10,0,18,18,0,0,2,"ARC, other",2,2,"Antagonists, Core, Upper body pulling, Upper body pushing",,10,15,30,5
30/01/2017 00:55:13,Male,177,66,178,7.5 - 8 years,Indoor and outdoor climbing,V7,V7,V6,29,28,26,3,8,1,0,"Full Crimp, Half Crimp, Open Crimp, Front 3, Back 3, Front 2, Middle 2, Back 2, Slopers",Repeaters,0,0,10mm,10,0,0,1,"4x4, hangboard repeater protocols, Laps of routes, Feet on 'campusing'",1,1,"Antagonists, Core, Upper body pulling, Upper body pushing",,20,0,40,20s
30/01/2017 01:06:26,Male,179,69,178,12 - 12.5 years,Indoor and outdoor climbing,V10,V7,V8,31,I don't climb routes,21,3,5,7,3,"Half Crimp, Open Crimp, Slopers",Repeaters,14,16,10,10,2,1,0,I don't train for endurance,3,5,"Antagonists, Core, Upper body pulling, Upper body pushing","Running, bike",12,10kg,20,5s
30/01/2017 01:10:02,Male,185.4,82,186,4 - 4.5 years,Indoor and outdoor climbing,V7,V6,V5,28,26,24,3,4,2,2,"Half Crimp, Front 3",Max weight,49.8,,,,0,0,1,"Laps of routes, ARC",1,1,"Core, Upper body pulling, Upper body pushing",mobility,,,,
30/01/2017 01:17:20,Female,165.1,53,165.1,3.5 - 4 years,Indoor and outdoor climbing,V3,V3,V1,22,21,21,5,10,3,1,"Open Crimp, Front 2, Middle 2, Back 2",Repeaters,,,,,0,0,0,I don't train for endurance,3,2,"Antagonists, Core, Upper body pulling, Upper body pushing",,5,0,11,
30/01/2017 01:18:37,Female,157,47,155,8 - 8.5 years,Indoor and outdoor climbing,I don't boulder,I don't boulder,V3,27,27,24,4,6,6,0,I don't Hangboard,I don't hangboard,,,,,3,4,1,systems boards,2,1,"Core, Upper body pulling, Upper body pushing",Running 10-15 miles/week,,26lb,,
30/01/2017 01:19:51,Male,180,79.5,185,0 - .5 years,Indoor Climbing only,V4,V4,V3,I don't climb routes,I don't climb routes,I don't climb routes,3,6,3,0,I don't Hangboard,I don't hangboard,,,,,0,0,2,other,2,2,"Legs, Core, Upper body pushing",,18,30,50,2
30/01/2017 01:29:32,Male,186,73,190,2 - 2.5 years,Indoor and outdoor climbing,V5,V5,V3,23,23,20,2,6,1,0,I don't Hangboard,I don't hangboard,,,,,0,0,1,"4x4, Laps of routes",1,1,"Core, Upper body pulling, Upper body pushing",,12,?,10,0
30/01/2017 01:37:45,Male,183,100,185,2 - 2.5 years,Indoor and outdoor climbing,V6,V5,V4,25,24,22,2,4,0,0,"Half Crimp, Open Crimp, Front 3, Front 2, Middle 2, Slopers, Pinch",Repeaters,,,,,0,0,0,"4x4, systems boards, Laps of routes, ARC",2,2,"Legs, Core, Upper body pulling, Upper body pushing",Running,12,25,70,
30/01/2017 01:44:47,Male,167,60,179,3.5 - 4 years,Indoor and outdoor climbing,V9,V9,V4,22,20,16,3,6,3,3,Half Crimp,"Max weight, Repeaters",30,,8,,0,0,0,hangboard repeater protocols,2,2,"Core, Upper body pulling, Upper body pushing",,13,35,22,
30/01/2017 01:56:42,Male,173,86,173,1.5 - 2 years,Indoor and outdoor climbing,V6,V4,V4,23,22,22,3,4,4,2,"Full Crimp, Half Crimp, Open Crimp, Front 3, Back 3, Front 2, Middle 2, Slopers, Pinch","Min Edge, Repeaters",30,35,16,14,2,2,2,"4x4, Max moves, Laps of routes, ARC",4,8,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing","Strongman, crossfit, yoga.",32,65#,286,26 seconds
30/01/2017 02:05:50,Male,182,72,182,More than 15 years,Indoor and outdoor climbing,V11,V10,V9,31,I don't climb routes,I don't climb routes,3,4,2,3,"Open Crimp, Front 3, Back 3","Max weight, Min Edge, Repeaters",62,62,,"6mm, 5kg",1,1,1,threshold intervals,2,1,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,25,55,25,20
30/01/2017 02:09:41,Male,170,64,165,.5 - 1 years,Indoor and outdoor climbing,V6,V6,V5,25,25,23,1,3,3,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,0,0,No other strength training,Soccer,16,,115,30
30/01/2017 02:12:00,Male,182,76,180,4.5 - 5 years,Indoor Climbing only,V6,V6,V4,26,24,20,1,3,3,1,"Half Crimp, Open Crimp, Front 3, Middle 2, Slopers",Repeaters,,,,,0,0,0,I don't train for endurance,1,2,"Antagonists, Core, Upper body pushing",,10,,20,30 sec
30/01/2017 02:17:43,Male,175,177,168,3.5 - 4 years,Indoor and outdoor climbing,V9,V8,V7,27,I don't climb routes,23,2,5,3,0,I don't Hangboard,I don't hangboard,,30,,,0,0,0,I don't train for endurance,3,6,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,25,35,,30
30/01/2017 02:22:24,Male,178,70.3,178,0 - .5 years,Indoor Climbing only,V4,V4,V2,17,17,17,3,5,3,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,3,3,"Legs, Core, Upper body pulling, Upper body pushing",,18,50,40,
30/01/2017 02:27:58,Male,183,80,187,1.5 - 2 years,Indoor and outdoor climbing,V4,V4,V3,20,20,20,3,6,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,2,4,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,10,,50,20
30/01/2017 02:29:03,Male,175,85,180,3 - 3.5 years,Indoor and outdoor climbing,V8,V7,V5,25,22,21,4,8,3,2,"Full Crimp, Half Crimp, Open Crimp",Repeaters,,,,,1,1,2,"4x4, hangboard repeater protocols",3,4,"Antagonists, Legs, Core, Upper body pushing",running,,,,
30/01/2017 02:34:07,Male,182,73,184,14.5 - 15 years,Indoor and outdoor climbing,V8,V8,V6,I don't climb routes,I don't climb routes,I don't climb routes,3,2,5,2,Open Crimp,"Max weight, Min Edge",,50,,6,0,0,0,I don't train for endurance,5,3,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,15,35,,20
30/01/2017 02:38:09,Male,173,58,173,1.5 - 2 years,Indoor and outdoor climbing,V8,V8,V6,I don't climb routes,I don't climb routes,I don't climb routes,2,5,2,2,Half Crimp,Max weight,25,,,,0,0,2,Feet on 'campusing',2,2,"Antagonists, Legs, Upper body pulling",,,20,40,
30/01/2017 02:40:27,Male,62,172,184,8 - 8.5 years,Indoor and outdoor climbing,V11,V10,V8,29,26,28,3,7,5,3,"Full Crimp, Half Crimp","Max weight, Min Edge, Other protocol",50,55,"5mm, 1KG",,2,1,0,I don't train for endurance,3,2,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,13,,20,20
30/01/2017 02:49:27,Male,193,79,193,2 - 2.5 years,Indoor and outdoor climbing,V8,V8,V5,25,25,24,3,7,6,3,Half Crimp,Repeaters,,,,,0,0,0,I don't train for endurance,3,6,"Antagonists, Core, Upper body pushing",,20,,30,20
30/01/2017 03:13:26,Male,174,65,176,1 - 1.5 years,Indoor and outdoor climbing,V5,V5,V3,22,22,20,3,8,1,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,1,1,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",Cycling ,15,N/a,40,1:30
30/01/2017 03:22:25,Male,186,72.5,190,2 - 2.5 years,Indoor and outdoor climbing,V8,V8,V5,27,27,24,4,8,8,3,Half Crimp,"Max weight, Min Edge",38.5,,,,0,0,3,ARC,3,6,"Antagonists, Core, Upper body pulling, Upper body pushing",,20,30,15,0
30/01/2017 03:56:50,Male,188,73,189,0 - .5 years,Indoor and outdoor climbing,I don't boulder,I don't boulder,I don't boulder,17,17,15,1,3,8,0,I don't Hangboard,I don't hangboard,,,,,0,0,2,"Laps of routes, threshold intervals",2,4,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",Cardio 2 times a week for 45 min. ,16,,105,
30/01/2017 03:58:36,Female,172.72,79.3787,85,2.5 - 3 years,Indoor and outdoor climbing,V3,V3,V2,22,22,21,4,10,2,0,I don't Hangboard,I don't hangboard,,,,,1,1,1,"Laps of routes, Feet on 'campusing'",2,3,"Legs, Core, Upper body pulling, Upper body pushing","Yoga, pilates, running",1,0,10,4:30 min
30/01/2017 03:58:54,Male,182,79,184,2.5 - 3 years,Indoor and outdoor climbing,V6,V5,V4,22,22,20,3,10,1,0,I don't Hangboard,I don't hangboard,5,2,,,0,0,0,"4x4, systems boards, threshold intervals",3,7,"Antagonists, Core, Upper body pulling, Upper body pushing","running, football(soccer)",12,15,50,25
30/01/2017 04:09:26,Male,178,74,170,.5 - 1 years,Indoor Climbing only,V5,V5,V4,21,21,19,4,10,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,1,Laps of routes,3,3,"Antagonists, Core",,,,,
30/01/2017 04:12:21,Male,170,59,172,2.5 - 3 years,Indoor and outdoor climbing,V8,V8,V5,I don't climb routes,I don't climb routes,I don't climb routes,5,17,3,1,"Open Crimp, Front 3, Front 2, Slopers","Max weight, Repeaters",,,10,10,1,1,2,"4x4, hangboard repeater protocols, other",2,2,"Antagonists, Legs, Core, Upper body pushing",Cycling,20,90lb,,
30/01/2017 04:15:56,Female,168,69,165,4.5 - 5 years,Indoor and outdoor climbing,V6,V5,V4,25,22,20,4,8,1,0,I don't Hangboard,I don't hangboard,,,,,0,0,1,"Laps of routes, ARC",1,2,"Antagonists, Core, Upper body pushing","Yoga 1xweek, light cardio 2xweek",6,0,30?,
30/01/2017 04:17:46,Male,185,79,185,2.5 - 3 years,Indoor and outdoor climbing,V6,V6,V5,27,26,23,5,12,2,2,Open Crimp,"Max weight, Min Edge",,80,,9,1,1,0,I don't train for endurance,2,1,"Antagonists, Core",,,,,
30/01/2017 04:18:32,Male,195,85,-,1.5 - 2 years,Indoor Climbing only,V5,V5,V3,I don't climb routes,I don't climb routes,I don't climb routes,3,5,2,0,I don't Hangboard,I don't hangboard,,,,,1,1,1,"Max moves, Laps of routes",1,1,"Core, Upper body pulling",,,,,
30/01/2017 04:18:32,Male,176,63.5,175,2.5 - 3 years,Indoor Climbing only,V9,V9,V7,29,28,27,3,8,4,3,"Front 2, Back 2",Max weight,,,6,,0,0,0,I don't train for endurance,4,4,"Core, Upper body pulling, Upper body pushing","Jogging, stretching, mobility on off days",,,,
30/01/2017 04:18:52,Female,165,56,165,3 - 3.5 years,Indoor and outdoor climbing,V6,V6,V4,23,22,20,3,9,2,1,"Open Crimp, Front 2, Middle 2, Back 2, Slopers, Pinch",Repeaters,,,,,1,1,0,I don't train for endurance,2,4,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,,,,
30/01/2017 04:34:53,Male,178,72,180,10 - 10.5 years,Indoor and outdoor climbing,V9,V8,V6,29,26,26,4,7,6,3,"Half Crimp, Open Crimp, Front 3",Max weight,13,32,8mm,9mm,0,0,1,4x4,2,1,"Antagonists, Legs, Upper body pulling, Upper body pushing",,18,32kg,,60s
30/01/2017 04:39:08,Male,185,73,187,6.5 - 7 years,Indoor and outdoor climbing,V11,V10,V9,32,32,30,5,10,6,2,"Half Crimp, Middle 2",Max weight,53,,,,0,0,0,threshold intervals,2,1,"Antagonists, Core",,,,,
30/01/2017 04:47:42,Male,182.8,76,189,More than 15 years,Indoor and outdoor climbing,V8,V6,V4,29,26,24,2,4,8,3,"Full Crimp, Half Crimp, Open Crimp, Front 2, Middle 2, Slopers, Pinch","Max weight, Repeaters, Other protocol",38 kg,50 kg,"13 mm, 9 kg","13mm, 22.7 kg",1,1,1,"hangboard repeater protocols, ARC, route climbing intervals",1,1,"Antagonists, Core, Upper body pulling, Upper body pushing","indoor soccer/futball,  5 hours per week",12?  I don't work on bodyweight pullups for reps.,? dont work this.  10kg?,? 20 good one?  dont work for max numbers,~8 seconds  (I train in cycles.  week is a bad unit since many things are not done every week)
30/01/2017 04:50:55,Male,178,72,178,1.5 - 2 years,Indoor and outdoor climbing,V8,V6,V5,24,24,21,3,10,3,1,Open Crimp,Min Edge,,,,,0,0,1,"4x4, Max moves, Laps of routes",3,2,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",Yoga daily ,10,,,
30/01/2017 05:09:07,Male,180,86,177,.5 - 1 years,Indoor and outdoor climbing,V7,V7,V5,32,32,27,3,9,2,1,"Full Crimp, Half Crimp, Open Crimp, Front 3, Back 3, Front 2, Middle 2, Back 2, Slopers, Pinch",Repeaters,0,0,0,0,1,1,1,"4x4, hangboard repeater protocols, Max moves, Laps of routes, Feet on 'campusing', route climbing intervals",0,0,No other strength training,"Cycling, Hiking, Kayaking ",45,N/A,112,24
30/01/2017 05:09:27,Male,174,75,180,11.5 - 12 years,Indoor and outdoor climbing,V6,V6,V4,28,26,25,3,8,0,2,Open Crimp,Repeaters,,,,,0,0,1,hangboard repeater protocols,0,0,No other strength training,,20,20 kg,25,
30/01/2017 05:09:41,Male,178,59,183,2.5 - 3 years,Indoor and outdoor climbing,V8,V7,V6,25,24,22,3,6,3,2,"Half Crimp, Middle 2, Slopers, Pinch","Max weight, Repeaters",10,10,15,15,2,2,1,"4x4, ARC",2,1,"Legs, Core, Upper body pulling, Upper body pushing",Cycling,12,150,30,
30/01/2017 05:15:48,Male,175,73,183,0 - .5 years,Indoor Climbing only,V2,V2,V2,I don't climb routes,I don't climb routes,I don't climb routes,2,4,2,0,I don't Hangboard,I don't hangboard,,,,,0,0,2,ARC,2,2,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",running,12,,33,20 seconds
30/01/2017 05:18:43,Male,178,70,195,14.5 - 15 years,Indoor and outdoor climbing,V13,V13,V11,33,I don't climb routes,31,4,12,4,2,"Half Crimp, Open Crimp",Max weight,56,66,,,1,1,1,"4x4, threshold intervals, other",3,3,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,25,106kg total (36kg added to BW),40,45sec
30/01/2017 05:30:52,Female,170,59,173,1 - 1.5 years,Indoor and outdoor climbing,I don't boulder,I don't boulder,I don't boulder,23,23,21,4,7,12,0,I don't Hangboard,I don't hangboard,,,,,0,0,2,"4x4, Laps of routes",2,2,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing","running, hiking",3,,,
30/01/2017 05:38:29,Male,177,70,185.5,5 - 5.5 years,Indoor and outdoor climbing,V7,V7,V6,26,26,25,4,7,1,1,Open Crimp,Max weight,,17,,,0,0,1,"route climbing intervals, threshold intervals",4,3,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing","Sauna, ice baths, slackining",,,,
30/01/2017 05:42:30,Male,178,75,180,5.5 - 6 years,Indoor and outdoor climbing,V7,V7,V5,21,I don't climb routes,19,4,5,5,1,Half Crimp,Max weight,0,-20,n/a,n/a,0,0,1,Laps of routes,4,3,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",,12,+45,45,10 seconds
30/01/2017 05:43:58,Female,165,65,163,4.5 - 5 years,Indoor Climbing only,V4,V3,V2,21,21,19,4,9,0,0,I don't Hangboard,I don't hangboard,0,0,0,0,0,0,1,Laps of routes,0,0,No other strength training,,1,0,0,0
30/01/2017 05:49:36,Male,174,73,179,4 - 4.5 years,Indoor and outdoor climbing,V7,V7,V5,27,26,24,3,5,2,2,"Half Crimp, Middle 2",Max weight,29,unknown,unknown,unknown,0,0,0,other,1,1,Antagonists,,15,+40kg,35,unknown
30/01/2017 05:51:27,Male,180,65.77,185,8 - 8.5 years,Indoor and outdoor climbing,V11,V11,V8,I don't climb routes,I don't climb routes,I don't climb routes,4,5,10,2,"Half Crimp, Open Crimp",Max weight,75,70,,,0,0,0,I don't train for endurance,2,4,"Antagonists, Upper body pulling, Upper body pushing",,30,50,,
30/01/2017 06:01:41,Female,171,74,178,2.5 - 3 years,Indoor Climbing only,V5,V5,V4,25,25,23,1,3,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,0,0,No other strength training,"swimming, running, cycling",2,0,45,3 minutes
30/01/2017 06:08:14,Male,170,66.5,171,10.5 - 11 years,Indoor and outdoor climbing,V4,V4,V3,24,18,18,2,4,8,1,"Full Crimp, Open Crimp",Max weight,Can't do 18mm,Can't do 18mm,20mm,20mm,0,0,3,other,1,1,"Legs, Core, Upper body pulling, Upper body pushing","Running, Hiking",10,0,30,0
30/01/2017 06:11:16,Male,188,87,200,1 - 1.5 years,Indoor and outdoor climbing,V6,V6,V4,22,22,19,3,7,2,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,2,1,"Antagonists, Core",yoga,8,0,5,0
30/01/2017 06:17:09,Male,180,74,180,2 - 2.5 years,Indoor and outdoor climbing,V8,V6,V4,24,24,21,3,9,0,3,"Half Crimp, Open Crimp",Max weight,30 no hang,20 no hang,,,0,0,0,I don't train for endurance,3,5,"Antagonists, Legs, Core, Upper body pulling, Upper body pushing",Static stretching ,12,195lbs total (including bodyweight) ,30,10s
30/01/2017 06:42:00,Male,186,70,196,0 - .5 years,Indoor Climbing only,V5,V5,V2,22,22,20,4,10,0,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,Laps of routes,0,0,No other strength training,,,,,
30/01/2017 06:43:37,Male,177,61.2,177,1 - 1.5 years,Indoor Climbing only,V5,V5,V3,I don't climb routes,I don't climb routes,I don't climb routes,3,5,3,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,1,1,Core,Hiking,,,,
30/01/2017 07:02:58,Male,175,73,177,More than 15 years,Indoor and outdoor climbing,V7,V6,V4,32,32,29,3,5,2,0,I don't Hangboard,I don't hangboard,,,,,0,0,0,I don't train for endurance,1,1,"Antagonists, Legs, Core, Upper body pulling",Rowing!,3 x 8,,3 x 8,30 secs
30/01/2017 07:04:53,Male,168,55,173,5.5 - 6 years,Indoor and outdoor climbing,V13,V12,V8,I don't climb routes,I don't climb routes,I don't climb routes,3,5,3,1,"Open Crimp, Back 3, Middle 2",Repeaters,,,,,3,2,1,hangboard repeater protocols,3,1,"Antagonists, Core, Upper body pulling, Upper body pushing",,,,,
30/01/2017 08:08:40,Male,193,90,195,3 - 3.5 years,Indoor Climbing only,I don't boulder,I don't boulder,I don't boulder,25,25,19,3,9,1,0,I don't Hangboard,I don't hangboard,,,,,3,2,0,I don't train for endurance,3,3,"Core, Upper body pulling",,23,90kg bodyweight + 35kg =125kg,,
30/01/2017 08:09:45,Male,175,56.7,177.5,8 - 8.5 years,Indoor and outdoor climbing,V10,V9,V7,I don't climb routes,I don't climb routes,I don't climb routes,3,9,1,1,I don't Hangboard,Other protocol,,,,,0,0,0,I don't train for endurance,0,0,No other strength training,,20,,,
30/01/2017 08:19:31,Male,160,52,163,2 - 2.5 years,Indoor and outdoor climbing,V7,V7,V5,I don't climb routes,I don't climb routes,I don't climb routes,3,9,9,3,"Half Crimp, Open Crimp",Max weight,9,16,,,3,1,0,I don't train for endurance,3,3,"Antagonists, Legs, Core, Upper body pushing",,15,16,50,15
30/01/2017 08:43:42,Male,185,67,Dont know,6 - 6.5 years,Indoor and outdoor climbing,I don't boulder,I don't boulder,I don't boulder,22,20,17,2,1,4,0,I don't Hangboard,I don't hangboard,,,,,2,0,0,I don't train for endurance,1,1,"Legs, Core, Upper body pushing",,,,,
